Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C60474,CC0402KRX7R7BB104,YAGEO,0402,,100nF ±10% 16V Ceramic Capacitor X7R 0402,yes,100,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/C60474.html
2,C192893,SL2.1A,CoreChips,SOP-16,,4 USB 2.0 Hub SOP-16 Interface Controllers RoHS,yes,5,5,5,0.2329,1.16,https://www.lcsc.com/product-detail/C192893.html
3,C475497,PCM2912APJTR,TI,TQFP-32(7x7),,Encoder/decoder USB TQFP-32(7x7) CODECS RoHS,yes,2,1,1,4.6145,9.23,https://www.lcsc.com/product-detail/C475497.html
4,C318866,XKB5858-Z-80,XKB Connection,"DIP-6,5.8x5.8mm",,"Latching DPDT Through Hole Square Button 1.6N 30V DIP-6,5.8x5.8mm Pushbutton Switches RoHS",yes,5,5,5,0.1721,0.86,https://www.lcsc.com/product-detail/C318866.html
5,C60490,RC0402FR-0710KL,YAGEO,0402,,62.5mW 10kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0008,0.08,https://www.lcsc.com/product-detail/C60490.html
6,C114759,RC0402FR-071K5L,YAGEO,0402,,62.5mW 1.5kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0008,0.08,https://www.lcsc.com/product-detail/C114759.html
7,C17477,0805W8F0000T5E,UNI-ROYAL,0805,,0Ω ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0021,0.21,https://www.lcsc.com/product-detail/C17477.html
8,C105872,RC0402FR-075K1L,YAGEO,0402,,5.1kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C105872.html
9,C137933,RC0402FR-07820RL,YAGEO,0402,,820Ω 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0008,0.08,https://www.lcsc.com/product-detail/C137933.html
10,C114765,RC0402FR-0722RL,YAGEO,0402,,22Ω 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0008,0.08,https://www.lcsc.com/product-detail/C114765.html
11,C16772,CL05B224KO5NNNC,Samsung Electro-Mechanics,0402,,220nF ±10% 16V Ceramic Capacitor X7R 0402,yes,50,50,50,0.0041,0.21,https://www.lcsc.com/product-detail/C16772.html
12,C106200,CC0402JRNPO9BN101,YAGEO,0402,,100pF ±5% 50V Ceramic Capacitor NP0 0402,yes,100,100,100,0.0012,0.12,https://www.lcsc.com/product-detail/C106200.html
13,C107000,CC0402JRNPO9BN200,YAGEO,0402,,20pF ±5% 50V Ceramic Capacitor NP0 0402,yes,100,100,100,0.0011,0.11,https://www.lcsc.com/product-detail/C107000.html
14,C7196,TAJB107M010RNJ,Kyocera AVX,CASE-B-3528-21(mm),,100uF ±20% 10V Tantalum Capacitors 1.4Ω@100kHz CASE-B-3528-21(mm),yes,3,1,1,0.3492,1.05,https://www.lcsc.com/product-detail/C7196.html
15,C7469983,FVH010ADA101M0554,FOSAN,5x5.4,,100uF ±20% 10V Aluminum Electrolytic Capacitors,yes,20,20,20,0.0341,0.68,https://www.lcsc.com/product-detail/C7469983.html
16,C315248,CL05A106MP5NUNC,Samsung Electro-Mechanics,0402,,10uF ±20% 10V Ceramic Capacitor X5R 0402,yes,20,20,20,0.0091,0.18,https://www.lcsc.com/product-detail/C315248.html
17,C51412,CL10A335KP8NNNC,Samsung Electro-Mechanics,0603,,3.3uF ±10% 10V Ceramic Capacitor X5R 0603,yes,10,10,10,0.0193,0.19,https://www.lcsc.com/product-detail/C51412.html
18,C14445,CL05A105KP5NNNC,Samsung Electro-Mechanics,0402,,1uF ±10% 10V Ceramic Capacitor X5R 0402,yes,100,100,100,0.0021,0.21,https://www.lcsc.com/product-detail/C14445.html
